query_id,hardness,query_text,ground_truth_count,system_response_count,precision,recall,f1_score,latency_seconds,ground_truth_pids,system_response_pids
HARD_01,hard,Show me health and beauty products ordered by customers from 'rio de janeiro' or 'sao paulo' that are packaged in a tube.,3,7,1.0,1.0,1.0,552.7415750026703,bc4a074ab7a7ff14e98fa64671a79dc0;c752f2bc46ad4b389290cf5828a1db62;a18a23a783fb7576a8f0f6fbc2ae2b58,bc4a074ab7a7ff14e98fa64671a79dc0;c752f2bc46ad4b389290cf5828a1db62;a18a23a783fb7576a8f0f6fbc2ae2b58;bc4a074ab7a7ff14e98fa64671a79dc0;bc4a074ab7a7ff14e98fa64671a79dc0;bc4a074ab7a7ff14e98fa64671a79dc0;bc4a074ab7a7ff14e98fa64671a79dc0
HARD_02,hard,Show me health and beauty products with a price greater than 100 that are packaged in a jar,2,2,1.0,1.0,1.0,512.6359188556671,2efbce46d36d9af306d4300db163b276;012dd0e1c1f14325ee35f06748329355,2efbce46d36d9af306d4300db163b276;012dd0e1c1f14325ee35f06748329355
HARD_03,hard,"Show me watches from the watches_gifts category, sold by sellers from the state of 'SP' that have a leather strap.",2,2,1.0,1.0,1.0,5787.017497777939,83ef44e104d09603c783f1cc00cff82a;06ae026e430189633c2fbd0288c86257,83ef44e104d09603c783f1cc00cff82a;06ae026e430189633c2fbd0288c86257
HARD_04,hard,"What are the products from the health_beauty category, that have a review score of 5 and come in a dropper bottle?",9,19,1.0,1.0,1.0,886.4918911457062,b3bcd6f54c943fecf8f51e0b988e5cc9;2a27bdf5d36c733df107a86e44370254;13387d462f74993d258b62f8f85fd9b8;50556c630443502c11acde1c320fe278;860dd3635c61aba2d7ddea90b7d471b2;7a33d7a1a85cb7db38bacbcc212a6013;c20e9c8a7361bfa0d6530ab73075921b;ae6476ef6cf588ccb0bd009b62359b97;dbbda25f6b7c74669cf2203b2e3139a0,2a27bdf5d36c733df107a86e44370254;13387d462f74993d258b62f8f85fd9b8;b3bcd6f54c943fecf8f51e0b988e5cc9;50556c630443502c11acde1c320fe278;b3bcd6f54c943fecf8f51e0b988e5cc9;860dd3635c61aba2d7ddea90b7d471b2;ae6476ef6cf588ccb0bd009b62359b97;c20e9c8a7361bfa0d6530ab73075921b;c20e9c8a7361bfa0d6530ab73075921b;b3bcd6f54c943fecf8f51e0b988e5cc9;b3bcd6f54c943fecf8f51e0b988e5cc9;860dd3635c61aba2d7ddea90b7d471b2;dbbda25f6b7c74669cf2203b2e3139a0;2a27bdf5d36c733df107a86e44370254;2a27bdf5d36c733df107a86e44370254;50556c630443502c11acde1c320fe278;ae6476ef6cf588ccb0bd009b62359b97;7a33d7a1a85cb7db38bacbcc212a6013;2a27bdf5d36c733df107a86e44370254
HARD_05,hard,"Give me the number of smart watches from the watches_gifts category, that were paid for with more than 3 installments.",5,0,0.0,0.0,0.0,19.154871940612793,d294bd539d8c70342149beb38b767afc;4e80e5fbd1f7a5e67501d0e1573abf98;f14aa2ba817ef24ccf7f99c0ccfab59a;b6b4ab44d1f3c2a645abbda76af2a993;28f71b48a5f99f0bcf4642ae10352557,
EXTRA_HARD_01,extra_hard,List smart watches from the watches & gifts category that were delivered to a customer in the state of 'RJ' and sold by a seller from the state of 'SP'.,3,3,1.0,1.0,1.0,1574.8103458881378,f14aa2ba817ef24ccf7f99c0ccfab59a;5b706747080dcd34b3ebd803c25ccd65;b6b4ab44d1f3c2a645abbda76af2a993,f14aa2ba817ef24ccf7f99c0ccfab59a;5b706747080dcd34b3ebd803c25ccd65;b6b4ab44d1f3c2a645abbda76af2a993
EXTRA_HARD_02,extra_hard,"Show me health and beauty products ordered in the first week of December 2017, paid for with a credit card in more than one installment, that are packaged in a dropper bottle.",2,2,1.0,1.0,1.0,84.27729320526123,b3bcd6f54c943fecf8f51e0b988e5cc9;13387d462f74993d258b62f8f85fd9b8,13387d462f74993d258b62f8f85fd9b8;b3bcd6f54c943fecf8f51e0b988e5cc9
EXTRA_HARD_03,extra_hard,Find kids watches from the watches & gifts category sold by sellers and customers both in 'sao paulo'.,3,3,1.0,1.0,1.0,190.44830799102783,4a9947ec1fcec2b3321193ed5590e8cb;a7f2b139c27a47d32a6ab4529c65c134;31d6f0a621ee145ae8c70304cf564483,4a9947ec1fcec2b3321193ed5590e8cb;a7f2b139c27a47d32a6ab4529c65c134;31d6f0a621ee145ae8c70304cf564483
EXTRA_HARD_04,extra_hard,Find me pocket watch from the 'watches_gifts' category that was paid for with 'boleto' and received a review score less than 3?,2,2,1.0,1.0,1.0,234.75423884391785,5e21d5cab5d33e770d8150a4ee6117db;3e9b58f1436820c248d3f98d7229bb14,3e9b58f1436820c248d3f98d7229bb14;5e21d5cab5d33e770d8150a4ee6117db
EXTRA_HARD_05,extra_hard,List the sellers who have sold at least one 'health_beauty' product that comes in a dropper bottle to a customer in the state of 'MG'.,4,5,1.0,1.0,1.0,333.25948786735535,8b2492b7ff4468839593fafeed55bad9;a06c8ff043abea0528ee44171e2140a2;620c87c171fb2a6dd6e8bb4dec959fc6;04308b1ee57b6625f47df1d56f00eedf,620c87c171fb2a6dd6e8bb4dec959fc6;a06c8ff043abea0528ee44171e2140a2;8b2492b7ff4468839593fafeed55bad9;04308b1ee57b6625f47df1d56f00eedf;620c87c171fb2a6dd6e8bb4dec959fc6
